row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
209,9017050204,13.9,15.5,16.3,17.0,10.0,14.0,10.0,14.5,13.6,10.0,16.0,17.0,14.75,16.25,16.5,15.5,12.37,15.75,14.5,19.0,15.54,f
210,9017050205,18.7,19.5,17.25,18.0,10.0,15.5,14.41,14.75,17.8,13.35,20.0,20.0,17.5,16.0,16.0,12.5,11.99,14.5,16.25,19.0,16.81,m
211,9017050206,10.0,12.0,11.05,13.0,10.0,13.0,10.0,13.5,13.2,9.85,17.0,15.75,14.5,11.0,18.0,11.5,11.44,13.75,15.0,17.5,14.02,f
212,9017050207,8.0,9.5,10.0,9.0,8.0,10.0,11.0,9.5,9.35,9.81,10.0,15.5,14.25,11.5,14.0,9.0,12.0,11.25,10.0,17.1,12.54,f
213,9017050208,10.0,10.0,10.0,11.0,8.0,15.0,10.0,9.0,9.4,9.73,10.5,15.5,10.25,10.0,16.5,9.0,10.0,11.0,11.0,10.25,12.07,f
214,9017050210,16.0,17.0,18.9,19.0,10.0,13.5,12.35,16.5,15.2,14.59,20.0,16.25,16.0,18.0,15.5,17.0,14.96,17.0,13.25,19.5,16.26,m
215,9017050212,12.0,13.5,9.5,12.0,8.0,10.0,9.75,14.5,13.5,9.95,10.0,15.5,11.75,11.75,11.0,8.0,9.32,9.5,9.75,9.5,12.87,f
216,9017050213,8.8,11.0,16.1,16.0,14.25,14.5,12.65,17.0,13.4,12.57,17.5,16.75,15.5,17.25,16.0,19.0,16.23,17.5,19.0,18.0,15.49,m
217,9017050214,7.0,9.5,10.7,12.0,11.0,11.0,9.27,12.0,11.75,9.26,17.0,17.0,14.5,13.0,16.0,12.5,13.75,13.25,15.0,13.25,14.08,f
218,9017050215,10.0,10.0,10.0,18.0,10.0,9.0,10.81,12.75,12.5,9.91,16.75,16.5,18.25,17.5,14.0,15.5,13.96,14.0,15.0,12.5,14.14,m
219,9017050217,13.2,11.0,17.2,15.0,8.0,17.0,12.96,11.25,10.6,12.22,18.5,18.0,16.5,16.0,17.0,17.5,14.0,16.25,18.25,16.0,15.67,f
220,9017050218,14.8,10.0,9.5,17.0,10.0,13.0,10.0,10.0,13.2,9.66,16.75,17.0,14.25,20.0,15.0,10.0,9.69,11.75,13.5,13.5,13.72,f
221,9017050219,11.0,12.5,11.05,14.5,17.0,10.0,9.52,10.0,10.4,9.78,12.75,17.25,15.75,15.0,14.0,10.0,9.9,12.0,14.25,17.5,14.01,f
222,9017050220,11.6,13.0,13.25,14.0,8.0,9.0,10.0,13.75,10.4,9.74,11.25,16.75,10.5,12.75,18.0,9.0,9.64,11.5,10.0,11.5,13.36,f
223,9017050221,17.0,19.0,20.0,17.5,11.5,18.5,20.0,18.25,14.6,19.22,18.25,18.75,17.5,16.0,19.0,18.75,18.1,19.5,19.75,20.0,18.28,m
224,9017050223,7.0,9.0,9.5,8.5,9.0,9.0,10.16,8.0,7.6,9.81,8.5,15.75,12.5,12.5,10.0,12.5,12.5,12.5,11.25,12.5,12.3,m
225,9017050224,15.0,12.0,14.55,18.5,10.0,15.0,11.07,16.5,13.8,10.0,15.5,17.75,14.0,16.0,16.0,15.25,10.0,15.25,17.5,16.5,15.42,f
226,9017050228,13.6,13.5,18.8,18.0,14.5,12.5,10.0,13.0,13.2,10.0,19.5,16.75,14.5,15.75,17.5,16.5,13.97,16.25,16.75,14.25,15.67,m
227,9017050229,14.4,14.4,10.0,17.0,10.0,15.0,11.77,11.75,9.5,11.77,17.5,16.5,12.75,18.75,16.0,13.0,10.0,14.25,13.0,16.75,14.93,f
228,9017050230,14.3,11.0,14.15,14.0,12.75,12.0,12.37,10.5,8.4,12.34,10.0,15.75,12.5,16.5,17.0,10.0,11.45,12.25,17.5,13.5,14.27,m
229,9017050231,17.0,15.0,18.97,19.5,10.0,18.5,20.0,16.25,11.8,17.2,20.0,20.0,17.25,19.25,17.5,11.25,12.97,17.75,20.0,18.75,17.56,f
230,9017050232,6.0,9.0,9.5,10.75,13.25,13.0,11.25,11.0,11.2,10.0,15.25,16.0,13.25,11.5,17.5,13.75,13.0,13.25,12.5,14.5,12.65,m
231,9017050233,14.2,17.5,12.55,18.0,14.0,11.0,9.75,14.0,13.4,11.89,19.75,17.75,13.0,17.0,15.0,12.0,11.14,13.5,15.5,18.75,15.16,m
232,9017050234,12.0,15.0,12.55,18.0,12.25,12.0,10.92,10.0,18.8,11.73,17.5,18.8,14.25,16.75,17.0,16.75,15.37,16.5,17.5,18.75,15.72,m
233,9017050235,16.5,18.5,18.39,17.5,12.0,15.5,10.3,11.75,11.8,9.87,16.0,13.5,13.5,15.5,17.5,12.5,11.64,13.5,15.0,18.5,15.54,m
234,9017050236,16.0,15.5,10.0,18.0,10.0,20.0,12.11,10.5,10.0,10.7,17.5,17.5,13.0,15.75,17.75,10.5,10.08,13.0,12.25,14.75,15.07,m
235,9017050237,14.0,12.0,18.65,16.5,17.0,13.0,10.0,14.25,14.2,11.12,20.0,17.75,18.5,19.5,17.0,17.5,11.27,12.25,18.5,17.0,16.39,f
236,9017050238,13.0,9.0,13.3,14.0,15.25,11.0,12.88,13.0,15.0,10.86,19.255,17.75,16.5,15.0,15.0,13.0,14.52,11.75,16.25,17.75,15.42,f
237,9017050240,13.5,16.0,9.25,15.35,17.0,19.0,12.7,19.25,11.4,12.14,13.5,16.75,14.0,15.25,18.0,13.25,9.87,12.5,12.75,14.5,15.21,m
